Unnamed: 0,trial_type_id,full_phrase,full_phrase_language,target_side,dataset_id,distractor_id,target_id,trial_type_aux_data,vanilla_trial,dataset_name,text1,image1,text2,image2,unique_pair,image_similarity,text_similarity
16,42538,Where's the baby? Can you see it?,eng,left,325,10238,10237,,1,adams_marchman_2018,baby,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/baby1.png,doggy,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/doggie1.png,10237_10238,0.6524293,0.89471954
17,42539,Where's the baby? Can you see it?,eng,left,325,10276,10275,,1,adams_marchman_2018,baby,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/baby3.png,doggy,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/doggie3.png,10275_10276,0.71000123,0.89471954
18,42540,Where's the baby? Can you see it?,eng,left,325,10243,10244,,1,adams_marchman_2018,baby,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/baby2.png,doggy,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/doggie2.png,10243_10244,0.7488502,0.89471954
19,42550,Where's the book? Can you find it?,eng,right,325,10254,10253,,1,adams_marchman_2018,book,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/book3.png,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/car3.png,10253_10254,0.5047281,0.8594286
20,42551,Where's the book? Can you find it?,eng,right,325,10284,10283,,1,adams_marchman_2018,book,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/book1.png,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/car1.png,10283_10284,0.394792,0.8594286
21,42552,Where's the book? Can you find it?,eng,right,325,10265,10266,,1,adams_marchman_2018,book,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/book4.png,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/car4.png,10265_10266,0.42095873,0.8594286
22,42560,Where's the book? Can you find it?,eng,left,325,10250,10249,,1,adams_marchman_2018,book,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/book2.png,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/car2.png,10249_10250,0.30274552,0.8594286
23,42562,Where's the book? Can you find it?,eng,left,325,10269,10270,,1,adams_marchman_2018,book,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/book3.png,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/car3.png,10269_10270,0.52292556,0.8594286
24,42563,Where's the book? Can you find it?,eng,left,325,10239,10240,,1,adams_marchman_2018,book,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/left/book1.png,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/adams_marchman_2018/raw_data/stimuli/images/right/car1.png,10239_10240,0.39462528,0.8594286
25,54199,,eng,right,406,13319,13310,,1,bacon_gendercues,pajamas,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/pajamas_male.png,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/shoe_female.png,13310_13319,0.6243284,0.76657075
26,54200,,eng,left,406,13316,13311,,1,bacon_gendercues,toothbrush,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/toothbrush_male.png,cup,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/cup_female.png,13311_13316,0.6711599,0.811275
27,54201,,eng,left,406,13318,13312,,1,bacon_gendercues,coat,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/coat_female.png,bowl,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/bowl_male.png,13312_13318,0.68056434,0.7712389
28,54202,,eng,right,406,13315,13313,,1,bacon_gendercues,bib,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/bib_male.png,sock,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/sock_female.png,13313_13315,0.7119362,0.7348656
29,54203,,eng,left,406,13317,13314,,1,bacon_gendercues,shirt,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/shirt_female.png,hat,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/bacon_gendercues/raw_data/images/hat_male.png,13314_13317,0.71725494,0.791543
30,988,shoe! Where's the shoe?,eng,left,6,217,211,,0,baumgartner_2014,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/shoe.jpg,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/cat.jpg,211_217,0.5720421,0.8255314
31,989,lif! Where's the lif?,eng,left,6,213,212,,0,baumgartner_2014,lif,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/FribbleA.png,neem,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/FribbleB.png,212_213,0.8526408,0.77159685
32,991,dog! Can you find the dog?,eng,right,6,216,214,,0,baumgartner_2014,dog,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/dog.jpg,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/car.jpg,214_216,0.58849317,0.8779647
33,993,baby! Can you find the baby?,eng,right,6,214,215,,0,baumgartner_2014,baby,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/baby.jpg,dog,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/dog.jpg,214_215,0.71905816,0.900744
34,996,kitty! Can you find the kitty?,eng,right,6,215,217,,0,baumgartner_2014,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/cat.jpg,baby,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/baby.jpg,215_217,0.77964425,0.8986592
